User_ID,Age,Gender,Location,Income_Level,Preferred_Categories,Budget_Range,Brand_Preference,Frequency_of_Purchase,Discount_Sensitivity,Past_Purchases,Wishlist,Engagement_Score,Satisfaction_Rating,Ratings
19,48,Female,Bangalore,Medium,"Home Essentials, Stationery, Electronics",7605-18148,Sony,2,High,"Fridge, Smartphone, Headphones","Smartwatch, Camera",4,4.4,"[4, 4, 3, 1]"
20,51,Male,Pune,High,"Stationery, Home Essentials, Electronics",5275-15764,Samsung,2,Low,"Laptop, Smartphone, Fridge","Smartwatch, Smartphone Accessories",5,3.4,"[1, 2, 1, 3]"
21,24,Male,Nagpur,Medium,"Stationery, Grocery, Fashion",7140-19818,None,2,Low,"Headphones, TV, Fridge","Camera, Smartphone Accessories",4,3.5,"[2, 1, 4, 3]"
22,18,Female,Surat,High,"Fashion, Stationery, Grocery",2383-17935,Sony,3,Low,"Headphones, Fridge, Smartphone","Camera, Smartwatch",4,4.1,"[2, 3, 3, 5]"
23,60,Male,Surat,Medium,"Home Essentials, Stationery, Fashion",3168-13942,None,9,High,"Headphones, Laptop, Fridge","Smartwatch, Smartphone Accessories",6,3.2,"[2, 4, 5, 3]"
24,43,Other,Surat,Medium,"Stationery, Fashion, Electronics",3047-10628,None,8,High,"TV, Smartphone, Laptop","Smartwatch, Smartphone Accessories",7,4.3,"[5, 3, 3, 3]"
25,59,Other,Pune,Low,"Fashion, Home Essentials, Stationery",9830-15105,Sony,9,Medium,"TV, Smartphone, Headphones","Camera, Smartphone Accessories",6,4.5,"[2, 3, 1, 4]"
26,24,Other,Bangalore,High,"Stationery, Electronics, Home Essentials",9728-15603,Samsung,6,Low,"Laptop, Fridge, TV","Camera, Smartwatch",3,4.2,"[4, 3, 3, 1]"
27,41,Male,Pune,Medium,"Fashion, Home Essentials, Electronics",5263-16798,Apple,6,Low,"Smartphone, TV, Headphones","Smartphone Accessories, Smartwatch",4,5.0,"[5, 3, 1, 4]"
28,24,Female,Visakhapatnam,Low,"Grocery, Fashion, Home Essentials",8605-16436,None,1,High,"Laptop, TV, Headphones","Smartwatch, Camera",5,4.4,"[2, 3, 4, 1]"
29,50,Other,Pune,Low,"Fashion, Stationery, Electronics",7846-12451,Apple,7,Low,"TV, Fridge, Laptop","Camera, Smartwatch",10,3.1,"[4, 3, 3, 2]"
30,51,Male,Visakhapatnam,Medium,"Fashion, Home Essentials, Stationery",6500-15180,None,9,High,"Headphones, Laptop, TV","Smartphone Accessories, Camera",7,4.0,"[3, 2, 5, 5]"
31,33,Female,Nagpur,Low,"Stationery, Fashion, Electronics",3524-14320,LG,3,Medium,"Smartphone, TV, Laptop","Smartphone Accessories, Camera",9,3.6,"[4, 5, 1, 3]"
32,38,Female,Pune,Low,"Fashion, Grocery, Electronics",5219-19690,LG,8,Medium,"Smartphone, TV, Headphones","Smartphone Accessories, Smartwatch",6,4.4,"[5, 2, 2, 1]"
33,59,Female,Surat,High,"Electronics, Grocery, Home Essentials",2330-15977,LG,8,Medium,"Fridge, Headphones, Smartphone","Camera, Smartphone Accessories",2,4.1,"[3, 1, 2, 2]"
34,34,Male,Nagpur,Low,"Fashion, Electronics, Home Essentials",1824-13119,LG,3,Low,"Laptop, Fridge, Smartphone","Smartphone Accessories, Smartwatch",2,4.1,"[5, 5, 5, 3]"
35,48,Female,Visakhapatnam,High,"Stationery, Electronics, Home Essentials",9935-16696,Sony,4,Medium,"Laptop, TV, Smartphone","Camera, Smartphone Accessories",3,3.8,"[2, 3, 5, 3]"
36,30,Male,Visakhapatnam,Medium,"Stationery, Grocery, Electronics",7885-19545,Sony,10,High,"Smartphone, Laptop, Headphones","Smartphone Accessories, Smartwatch",5,3.5,"[2, 4, 2, 5]"
37,20,Male,Visakhapatnam,Low,"Home Essentials, Fashion, Stationery",8551-15062,Samsung,2,Low,"Laptop, TV, Smartphone","Camera, Smartwatch",1,3.3,"[5, 5, 5, 3]"
38,26,Male,Pune,Low,"Stationery, Home Essentials, Grocery",4812-14423,Sony,3,Medium,"TV, Smartphone, Laptop","Smartphone Accessories, Camera",1,3.6,"[2, 2, 5, 4]"
39,25,Female,Visakhapatnam,High,"Home Essentials, Electronics, Grocery",4490-13342,None,4,Low,"Laptop, Fridge, TV","Smartphone Accessories, Camera",5,4.4,"[2, 3, 3, 1]"
40,39,Male,Surat,High,"Electronics, Home Essentials, Fashion",2846-19599,None,10,Low,"Fridge, Laptop, Headphones","Camera, Smartphone Accessories",6,4.3,"[2, 5, 1, 1]"
41,34,Male,Visakhapatnam,Medium,"Stationery, Fashion, Electronics",5019-17906,None,6,Low,"Fridge, TV, Laptop","Smartwatch, Camera",3,4.6,"[4, 1, 5, 3]"
42,21,Other,Pune,Low,"Grocery, Electronics, Fashion",9507-12761,Apple,5,Medium,"Fridge, Headphones, TV","Camera, Smartphone Accessories",9,5.0,"[4, 5, 4, 4]"
43,51,Female,Surat,High,"Electronics, Fashion, Stationery",9780-12885,Samsung,4,Low,"Fridge, Headphones, Laptop","Camera, Smartwatch",5,3.1,"[5, 2, 3, 1]"
44,51,Male,Visakhapatnam,High,"Home Essentials, Fashion, Electronics",2371-13107,LG,7,Low,"Smartphone, TV, Laptop","Smartwatch, Camera",5,3.2,"[4, 3, 4, 4]"
45,48,Male,Visakhapatnam,Low,"Electronics, Grocery, Fashion",5117-19232,None,10,Medium,"Headphones, TV, Smartphone","Smartphone Accessories, Smartwatch",7,3.8,"[5, 4, 5, 2]"
46,46,Other,Pune,Low,"Stationery, Fashion, Electronics",2923-10525,Apple,8,Low,"TV, Smartphone, Headphones","Smartphone Accessories, Camera",9,3.0,"[5, 3, 5, 5]"
47,24,Male,Bangalore,High,"Home Essentials, Electronics, Stationery",9759-14118,Samsung,3,Medium,"Fridge, Smartphone, TV","Smartwatch, Camera",3,3.9,"[4, 1, 4, 3]"
48,23,Female,Surat,High,"Grocery, Stationery, Electronics",4891-10699,LG,8,Low,"Fridge, Headphones, Smartphone","Camera, Smartphone Accessories",1,4.8,"[1, 3, 4, 4]"
49,21,Female,Bangalore,High,"Grocery, Electronics, Stationery",9405-11621,None,1,High,"Fridge, Headphones, Smartphone","Smartwatch, Smartphone Accessories",1,3.8,"[2, 4, 1, 1]"
50,51,Male,Bangalore,Low,"Fashion, Stationery, Home Essentials",3081-16569,None,9,High,"Laptop, Fridge, Smartphone","Smartphone Accessories, Smartwatch",6,3.3,"[2, 3, 2, 1]"
51,36,Female,Nagpur,High,"Stationery, Electronics, Home Essentials",7714-16445,None,9,Low,"TV, Headphones, Fridge","Smartwatch, Camera",6,3.0,"[3, 3, 4, 4]"
52,49,Female,Pune,High,"Fashion, Stationery, Electronics",3429-12787,None,1,Medium,"Smartphone, TV, Fridge","Camera, Smartphone Accessories",1,3.1,"[2, 1, 3, 2]"
53,22,Other,Pune,Low,"Stationery, Fashion, Electronics",3603-12301,None,4,Low,"Laptop, Headphones, Fridge","Smartphone Accessories, Camera",5,4.7,"[2, 1, 3, 2]"
54,49,Female,Nagpur,High,"Electronics, Fashion, Home Essentials",6219-16159,LG,8,High,"Laptop, Headphones, Fridge","Smartwatch, Camera",5,3.7,"[2, 1, 3, 5]"
55,22,Male,Surat,High,"Electronics, Home Essentials, Grocery",6818-17372,Sony,10,Low,"Smartphone, TV, Laptop","Smartwatch, Smartphone Accessories",5,3.0,"[4, 4, 5, 2]"
56,44,Male,Visakhapatnam,Medium,"Home Essentials, Stationery, Electronics",4064-12403,Samsung,9,Low,"Laptop, Fridge, Smartphone","Camera, Smartphone Accessories",9,3.2,"[1, 1, 2, 4]"
57,57,Male,Nagpur,Low,"Home Essentials, Electronics, Fashion",3194-13327,LG,4,Medium,"Headphones, Smartphone, Fridge","Camera, Smartphone Accessories",7,4.3,"[5, 5, 3, 4]"
58,27,Female,Visakhapatnam,Medium,"Grocery, Electronics, Home Essentials",8716-18734,Samsung,10,Medium,"Headphones, Laptop, Fridge","Smartwatch, Camera",8,3.9,"[5, 3, 2, 5]"
59,26,Female,Bangalore,Medium,"Fashion, Stationery, Home Essentials",5922-19884,Samsung,9,High,"Smartphone, Laptop, Headphones","Smartphone Accessories, Smartwatch",5,3.8,"[2, 1, 2, 2]"
60,20,Other,Bangalore,High,"Fashion, Electronics, Home Essentials",2002-19697,LG,7,High,"Smartphone, TV, Fridge","Camera, Smartphone Accessories",6,4.5,"[1, 2, 1, 5]"
61,57,Male,Bangalore,Low,"Stationery, Fashion, Home Essentials",5408-10924,Samsung,4,Medium,"TV, Fridge, Laptop","Smartwatch, Smartphone Accessories",9,4.5,"[2, 3, 4, 4]"
62,18,Female,Visakhapatnam,High,"Stationery, Fashion, Electronics",5691-15352,Samsung,5,Medium,"Laptop, Smartphone, Headphones","Smartphone Accessories, Smartwatch",4,3.4,"[2, 3, 4, 3]"
63,27,Other,Surat,Medium,"Fashion, Grocery, Home Essentials",4755-14272,Apple,9,Medium,"Fridge, Headphones, TV","Smartphone Accessories, Smartwatch",1,4.4,"[5, 2, 1, 1]"
64,36,Female,Pune,Low,"Stationery, Fashion, Grocery",4854-12582,LG,7,High,"Fridge, Laptop, Smartphone","Smartwatch, Camera",6,3.2,"[1, 2, 5, 4]"
65,54,Other,Surat,High,"Fashion, Home Essentials, Stationery",3846-15726,None,9,High,"Smartphone, Laptop, Fridge","Smartphone Accessories, Camera",4,4.4,"[4, 3, 3, 5]"
66,20,Female,Surat,Low,"Stationery, Grocery, Fashion",1762-13880,Samsung,1,Medium,"Fridge, Headphones, Laptop","Smartphone Accessories, Camera",6,3.1,"[3, 1, 1, 3]"
67,34,Other,Surat,High,"Grocery, Fashion, Home Essentials",8717-11383,None,7,Medium,"Fridge, Laptop, Smartphone","Smartphone Accessories, Camera",1,4.6,"[4, 3, 5, 2]"
68,46,Other,Pune,High,"Electronics, Grocery, Fashion",8278-14963,None,1,High,"Smartphone, Fridge, TV","Camera, Smartwatch",9,4.2,"[2, 3, 4, 3]"
69,50,Female,Pune,Low,"Electronics, Fashion, Stationery",4851-17849,Apple,2,Medium,"TV, Fridge, Laptop","Camera, Smartwatch",4,3.1,"[4, 4, 3, 5]"
70,19,Male,Pune,Medium,"Fashion, Electronics, Stationery",3754-11093,Apple,10,High,"Laptop, Fridge, Smartphone","Smartwatch, Smartphone Accessories",6,4.1,"[5, 1, 1, 3]"
71,59,Male,Bangalore,Medium,"Home Essentials, Grocery, Stationery",1644-17939,Sony,6,Medium,"Headphones, TV, Laptop","Smartphone Accessories, Smartwatch",4,4.8,"[2, 5, 4, 5]"
72,53,Other,Visakhapatnam,High,"Home Essentials, Stationery, Grocery",7175-12642,LG,9,Low,"Smartphone, Fridge, Headphones","Smartphone Accessories, Camera",6,3.3,"[3, 5, 5, 3]"
73,27,Female,Pune,High,"Home Essentials, Grocery, Electronics",6541-18902,None,7,Low,"Fridge, Laptop, Smartphone","Camera, Smartphone Accessories",5,4.6,"[5, 5, 4, 4]"
74,28,Other,Surat,High,"Fashion, Home Essentials, Grocery",4853-10540,None,9,Medium,"Smartphone, TV, Laptop","Smartwatch, Camera",7,3.5,"[3, 3, 4, 3]"
75,28,Other,Nagpur,Low,"Fashion, Electronics, Stationery",4208-19114,Samsung,3,Low,"Headphones, Fridge, Smartphone","Camera, Smartwatch",6,3.6,"[3, 1, 3, 4]"
76,33,Female,Surat,High,"Fashion, Electronics, Stationery",1400-10587,None,7,Low,"Laptop, Headphones, Fridge","Smartwatch, Camera",6,3.0,"[1, 1, 5, 3]"
77,42,Female,Pune,Medium,"Grocery, Electronics, Stationery",5879-18682,Samsung,3,Low,"Smartphone, TV, Fridge","Smartphone Accessories, Smartwatch",10,4.8,"[4, 5, 3, 2]"
78,59,Male,Bangalore,Low,"Electronics, Home Essentials, Fashion",5066-13053,LG,1,Medium,"TV, Laptop, Fridge","Camera, Smartphone Accessories",8,3.7,"[4, 5, 4, 3]"
79,47,Male,Bangalore,High,"Fashion, Grocery, Stationery",1134-10182,LG,1,Medium,"TV, Fridge, Laptop","Camera, Smartwatch",7,4.8,"[1, 4, 4, 2]"
80,18,Female,Nagpur,High,"Grocery, Fashion, Stationery",7630-10123,Sony,9,Low,"Laptop, Smartphone, Headphones","Smartwatch, Camera",10,4.8,"[3, 1, 3, 3]"
81,60,Other,Pune,High,"Grocery, Electronics, Stationery",7690-17480,LG,2,Low,"Headphones, Smartphone, Fridge","Camera, Smartwatch",7,4.7,"[5, 2, 2, 5]"
82,41,Other,Nagpur,Low,"Stationery, Electronics, Home Essentials",9665-14198,None,5,High,"Fridge, Headphones, Laptop","Smartphone Accessories, Smartwatch",1,4.4,"[5, 1, 5, 4]"
83,28,Other,Bangalore,Low,"Electronics, Fashion, Grocery",6577-13838,Samsung,4,Medium,"Fridge, Headphones, Smartphone","Smartphone Accessories, Camera",10,3.3,"[1, 1, 3, 2]"
84,56,Female,Nagpur,Medium,"Stationery, Home Essentials, Fashion",9328-16407,Samsung,9,Medium,"Smartphone, Headphones, Laptop","Smartwatch, Camera",5,4.1,"[2, 1, 5, 1]"
85,40,Female,Nagpur,High,"Grocery, Electronics, Fashion",2053-19751,LG,6,Medium,"TV, Smartphone, Laptop","Smartwatch, Smartphone Accessories",9,3.6,"[3, 3, 3, 3]"
86,38,Female,Pune,Medium,"Stationery, Grocery, Home Essentials",5057-16677,None,4,Low,"Fridge, TV, Laptop","Camera, Smartwatch",8,3.9,"[1, 2, 1, 2]"
87,30,Male,Bangalore,Medium,"Fashion, Electronics, Grocery",1976-10589,Samsung,10,High,"Smartphone, Headphones, TV","Camera, Smartwatch",5,4.2,"[2, 2, 4, 2]"
88,18,Female,Bangalore,Medium,"Home Essentials, Stationery, Grocery",9362-11395,None,8,Medium,"Fridge, Smartphone, TV","Smartwatch, Camera",8,4.3,"[5, 3, 1, 5]"
89,35,Male,Visakhapatnam,High,"Home Essentials, Fashion, Stationery",7223-16565,Sony,9,Medium,"Laptop, TV, Fridge","Camera, Smartphone Accessories",10,3.8,"[2, 1, 5, 1]"
90,40,Female,Pune,Low,"Electronics, Grocery, Home Essentials",9223-16584,Apple,6,Low,"TV, Fridge, Smartphone","Smartwatch, Smartphone Accessories",5,4.2,"[4, 4, 4, 3]"
91,49,Male,Bangalore,Low,"Electronics, Grocery, Home Essentials",1778-14228,Sony,8,Low,"Smartphone, Laptop, Fridge","Camera, Smartwatch",9,4.4,"[2, 2, 5, 1]"
92,33,Female,Bangalore,Low,"Grocery, Stationery, Fashion",9143-18210,None,3,High,"Smartphone, TV, Laptop","Camera, Smartphone Accessories",2,3.3,"[2, 3, 5, 5]"
93,45,Female,Pune,Medium,"Grocery, Home Essentials, Electronics",6685-12231,Sony,4,High,"Smartphone, Laptop, Headphones","Smartwatch, Smartphone Accessories",9,3.3,"[5, 2, 2, 5]"
94,43,Other,Pune,Low,"Electronics, Home Essentials, Fashion",3986-16630,Apple,4,Medium,"Fridge, Headphones, Smartphone","Smartwatch, Camera",6,4.4,"[1, 3, 5, 5]"
95,39,Other,Nagpur,Low,"Electronics, Home Essentials, Fashion",4119-15388,Sony,7,High,"Headphones, Laptop, Smartphone","Smartwatch, Smartphone Accessories",1,5.0,"[5, 3, 4, 2]"
96,40,Male,Bangalore,Medium,"Electronics, Fashion, Stationery",9281-14723,None,1,High,"Smartphone, Laptop, TV","Smartphone Accessories, Camera",3,4.7,"[2, 5, 1, 3]"
97,32,Female,Nagpur,Medium,"Stationery, Home Essentials, Grocery",9754-14114,Samsung,3,Low,"TV, Fridge, Laptop","Camera, Smartphone Accessories",10,3.6,"[1, 5, 1, 4]"
98,19,Other,Pune,Medium,"Electronics, Fashion, Stationery",8727-12006,Samsung,10,High,"Smartphone, Fridge, Laptop","Camera, Smartwatch",8,3.3,"[1, 3, 4, 5]"
99,37,Female,Bangalore,Low,"Grocery, Fashion, Home Essentials",8232-19329,Sony,2,Low,"Fridge, Laptop, Smartphone","Smartwatch, Smartphone Accessories",9,3.4,"[2, 1, 2, 4]"
100,22,Female,Surat,High,"Electronics, Grocery, Fashion",8714-14578,Samsung,4,Low,"TV, Fridge, Smartphone","Smartwatch, Camera",2,4.4,"[4, 4, 5, 4]"
